city,state_name,lat,lng, population , population_proper ,density
Pinetops,North Carolina,35.7912,-77.6378,1303,1303,501
Washburn,North Dakota,47.2928,-101.0275,1303,1303,280
Larimore,North Dakota,47.9091,-97.6272,1304,1304,847
Onarga,Illinois,40.7157,-88.0064,1304,1304,426
Maple Park,Illinois,41.9105,-88.608,1304,1304,216
West Jefferson,North Carolina,36.3948,-81.4896,1305,1305,241
Richlandtown,Pennsylvania,40.4726,-75.3212,1305,1305,1935
Granville,Illinois,41.2637,-89.2302,1305,1305,520
Bethany,Illinois,39.6445,-88.7409,1305,1305,521
Enigma,Georgia,31.4076,-83.329,1305,1305,154
Manly,Iowa,43.2881,-93.201,1305,1305,343
Preston,Minnesota,43.6723,-92.0826,1305,1305,205
Fall Creek,Wisconsin,44.7639,-91.2783,1306,1306,245
Princeton,North Carolina,35.4668,-78.1606,1307,1307,474
Middleburg,Pennsylvania,40.7892,-77.0445,1307,1307,571
Elmore,Alabama,32.546,-86.3329,1307,1307,127
Stryker,Ohio,41.5024,-84.418,1308,1308,582
Ontonagon,Michigan,46.8665,-89.3125,1308,1308,136
Freeman,South Dakota,43.3499,-97.4294,1308,1308,454
Goodwell,Oklahoma,36.5943,-101.6326,1309,1309,427
Maharishi Vedic City,Iowa,41.0544,-92.0139,1310,1310,150
Barrackville,West Virginia,39.5013,-80.1696,1311,1311,734
Sophia,West Virginia,37.7117,-81.2524,1311,1311,724
China Grove,Texas,29.393,-98.3443,1311,1311,117
Marshallville,Georgia,32.4564,-83.9407,1312,1312,162
Tiltonsville,Ohio,40.1721,-80.6973,1312,1312,965
Minerva Park,Ohio,40.0778,-82.9422,1312,1312,1024
Gerald,Missouri,38.3992,-91.3305,1312,1312,342
Pecos,New Mexico,35.5754,-105.6786,1313,1313,292
Cleveland,Alabama,33.9965,-86.5671,1313,1313,64
Marshall,Arkansas,35.9085,-92.6467,1313,1313,129
Shell Rock,Iowa,42.7122,-92.5819,1313,1313,324
Wathena,Kansas,39.7604,-94.9398,1313,1313,222
Goodman,Mississippi,32.9677,-89.9128,1313,1313,616
Spring Hope,North Carolina,35.9441,-78.109,1314,1314,335
Holcomb,New York,42.8991,-77.4244,1314,1314,363
Cedar Point,North Carolina,34.6862,-77.0833,1315,1315,230
Green Springs,Ohio,41.2572,-83.0532,1315,1315,420
Big Bend,Wisconsin,42.9024,-88.2122,1316,1316,153
Sistersville,West Virginia,39.5598,-80.9987,1316,1316,967
Beverly,Ohio,39.55,-81.6362,1316,1316,744
Black Creek,Wisconsin,44.4742,-88.4506,1317,1317,492
Inglis,Florida,29.0327,-82.6592,1317,1317,139
Josephine,Texas,33.0617,-96.3176,1317,1317,271
Farwell,Texas,34.3855,-103.0373,1317,1317,619
Benton,Tennessee,35.1746,-84.6522,1317,1317,158
Jordan,New York,43.0671,-76.4728,1317,1317,443
Dillsboro,Indiana,39.019,-85.055,1317,1317,412
Buhler,Kansas,38.1386,-97.7708,1317,1317,677
Roscoe,Texas,32.4419,-100.5322,1318,1318,157
Urania,Louisiana,31.8639,-92.2913,1319,1319,371
Nunda,New York,42.58,-77.9379,1319,1319,521
Greenfield,Missouri,37.4162,-93.8432,1319,1319,448
La Plata,Missouri,40.0242,-92.4914,1319,1319,320
Elkhart,Texas,31.6276,-95.5789,1321,1321,332
Palestine,Illinois,39.0016,-87.6126,1321,1321,647
Clinton,Kentucky,36.6664,-88.9938,1321,1321,316
Toluca,Illinois,41.0044,-89.1339,1322,1322,480
Woodbine,Georgia,30.9595,-81.7175,1322,1322,203
Clara City,Minnesota,44.958,-95.3668,1322,1322,292
Rutherford College,North Carolina,35.7507,-81.5269,1323,1323,225
Beulaville,North Carolina,34.9227,-77.7726,1323,1323,336
Brookside,Alabama,33.638,-86.9013,1323,1323,79
Harristown,Illinois,39.843,-89.0616,1323,1323,276
Fredonia,Arizona,36.9633,-112.52,1323,1323,60
Hayfield,Minnesota,43.8903,-92.8471,1323,1323,403
Benavides,Texas,27.5982,-98.4095,1324,1324,283
Munday,Texas,33.4471,-99.6239,1324,1324,358
Orange Grove,Texas,27.9562,-97.9386,1324,1324,472
Goodwater,Alabama,33.0608,-86.0516,1324,1324,78
Colchester,Illinois,40.4273,-90.7922,1324,1324,512
Okarche,Oklahoma,35.7189,-97.9757,1324,1324,271
Salem,South Dakota,43.7228,-97.3893,1324,1324,408
Shell Lake,Wisconsin,45.7323,-91.9033,1325,1325,88
Rolla,North Dakota,48.8532,-99.6144,1325,1325,356
Killian,Louisiana,30.353,-90.5795,1326,1326,47
Powells Crossroads,Tennessee,35.1844,-85.4846,1326,1326,101
Menahga,Minnesota,46.7471,-95.1011,1326,1326,138
Elmer,New Jersey,39.5915,-75.1742,1327,1327,592
Meggett,South Carolina,32.6971,-80.2731,1327,1327,28
Crooks,South Dakota,43.6595,-96.8092,1327,1327,668
Boston,Georgia,30.792,-83.7899,1329,1329,227
Hampton,New Jersey,40.7067,-74.9642,1330,1330,335
Sherburne,New York,42.6807,-75.4964,1330,1330,337
Fairview Park,Indiana,39.6821,-87.4142,1330,1330,583
Bainbridge,New York,42.2974,-75.4808,1331,1331,393
Newville,Pennsylvania,40.1702,-77.4016,1331,1331,1225
Geneva,Indiana,40.5975,-84.9569,1331,1331,472
Flemington,Pennsylvania,41.1273,-77.4703,1332,1332,1141
Rich Hill,Missouri,38.0959,-94.3633,1332,1332,376
Uintah,Utah,41.1427,-111.9333,1333,1333,416
Middletown,Virginia,39.0288,-78.2781,1334,1334,663
Tennessee Ridge,Tennessee,36.3195,-87.7635,1334,1334,138
Latta,South Carolina,34.339,-79.4337,1334,1334,470
Swepsonville,North Carolina,36.0285,-79.3549,1335,1335,366
Snyder,Oklahoma,34.6552,-98.9533,1335,1335,406
Saranac,Michigan,42.9294,-85.2105,1335,1335,447
Gillett,Wisconsin,44.8897,-88.3063,1336,1336,378
Shattuck,Oklahoma,36.2651,-99.8773,1336,1336,231
Winlock,Washington,46.4907,-122.9342,1337,1337,400
Independence,Wisconsin,44.3622,-91.4188,1337,1337,405
Hayden,Alabama,33.8818,-86.7838,1338,1338,128
Walnut,Illinois,41.557,-89.5908,1338,1338,626
Redkey,Indiana,40.3481,-85.1524,1338,1338,552
Maple Bluff,Wisconsin,43.1131,-89.3717,1339,1339,737
Pittsford,New York,43.0901,-77.5167,1339,1339,768
Grand Marais,Minnesota,47.7587,-90.3442,1339,1339,177
Flippin,Arkansas,36.2774,-92.5927,1340,1340,282
Morristown,Indiana,39.6738,-85.7045,1340,1340,197
Tripoli,Iowa,42.8084,-92.2579,1340,1340,367
Waukomis,Oklahoma,36.2833,-97.9038,1340,1340,157
Elephant Butte,New Mexico,33.1811,-107.2269,1341,1341,120
Fairfax,Oklahoma,36.5698,-96.708,1341,1341,677
Sutherland,Nebraska,41.1601,-101.1228,1343,1343,398
South Carthage,Tennessee,36.2409,-85.9575,1343,1343,197
Milan,Ohio,41.2883,-82.5995,1343,1343,437
Wheaton,Minnesota,45.8058,-96.498,1343,1343,288
Benwood,West Virginia,40.0139,-80.7328,1344,1344,399
West Alexandria,Ohio,39.745,-84.5361,1344,1344,601
Capron,Illinois,42.3986,-88.7393,1345,1345,670
Jarrell,Texas,30.8105,-97.6135,1346,1346,215
New Berlin,Illinois,39.7259,-89.9134,1346,1346,454
Litchfield,Michigan,42.041,-84.7568,1346,1346,208
Sneedville,Tennessee,36.537,-83.21,1347,1347,226
Princes Lakes,Indiana,39.3516,-86.11,1347,1347,385
Francis,Utah,40.6105,-111.2744,1347,1347,198
Livermore,Kentucky,37.4919,-87.1342,1347,1347,503
Spring Valley,Wisconsin,44.8501,-92.2435,1348,1348,123
Naples,Texas,33.203,-94.6776,1348,1348,219
Duck Hill,Mississippi,33.6316,-89.7153,1348,1348,503
Auburn,Kentucky,36.8642,-86.7145,1348,1348,322
Woodville,Wisconsin,44.9485,-92.2852,1349,1349,292
Eagle Butte,South Dakota,44.9907,-101.2275,1349,1349,444
Mount Hope,West Virginia,37.9003,-81.1721,1350,1350,396
Mabscott,West Virginia,37.7694,-81.2133,1350,1350,603
Center Hill,Florida,28.6321,-82.0003,1350,1350,87
Laverne,Oklahoma,36.7053,-99.8971,1350,1350,676
Appleton,Minnesota,45.1997,-96.0234,1350,1350,264
Pierz,Minnesota,45.9775,-94.1006,1350,1350,358
Crane,Missouri,36.9028,-93.5716,1351,1351,343
Yates Center,Kansas,37.8683,-95.7536,1351,1351,199
Warren,Illinois,42.4948,-89.9913,1352,1352,505
Winthrop,Minnesota,44.5434,-94.3611,1352,1352,492
Inman,Kansas,38.2302,-97.7725,1353,1353,866
Osborne,Kansas,39.4407,-98.6993,1353,1353,331
West Yellowstone,Montana,44.6628,-111.1058,1353,1353,666
Pelahatchie,Mississippi,32.3148,-89.8082,1353,1353,87
Glenmora,Louisiana,30.9733,-92.5824,1354,1354,302
Elm City,North Carolina,35.8088,-77.8622,1354,1354,675
Wood River,Nebraska,40.8208,-98.6003,1354,1354,658
Pelzer,South Carolina,34.6451,-82.4609,1354,1354,2950
Schuylerville,New York,43.1015,-73.5808,1355,1355,981
Dysart,Iowa,42.1721,-92.3091,1355,1355,420
Aurora,Texas,33.056,-97.5096,1356,1356,140
Thompson Falls,Montana,47.5994,-115.3428,1356,1356,330
Pine Knoll Shores,North Carolina,34.6974,-76.8207,1357,1357,235
Milford,Utah,38.3945,-113.0123,1357,1357,244
San Antonio,Florida,28.3396,-82.279,1359,1359,397
Hico,Texas,31.9857,-98.029,1360,1360,292
New Market,Tennessee,36.109,-83.5495,1360,1360,127
Bay City,Oregon,45.5216,-123.8858,1360,1360,416
Interlachen,Florida,29.6203,-81.8963,1361,1361,89
Sugar City,Idaho,43.8757,-111.7518,1361,1361,307
Rice,Minnesota,45.7525,-94.2319,1361,1361,92
Chapman,Kansas,38.9739,-97.0237,1361,1361,583
Pemberton,New Jersey,39.9715,-74.6856,1362,1362,898
Oriskany,New York,43.1568,-75.3335,1362,1362,664
Minneota,Minnesota,44.5625,-95.9826,1362,1362,367
Dunes City,Oregon,43.9079,-124.0984,1362,1362,194
Livonia,New York,42.822,-77.6689,1363,1363,522
Lanark,Illinois,42.1019,-89.8328,1363,1363,467
Cerro Gordo,Illinois,39.8896,-88.7348,1363,1363,683
Charlack,Missouri,38.7029,-90.3426,1363,1363,1961
Mancelona,Michigan,44.9024,-85.0613,1363,1363,524
Shoemakersville,Pennsylvania,40.5007,-75.9701,1364,1364,945
Sublette,Kansas,37.4822,-100.8466,1364,1364,503
Honaker,Virginia,37.0156,-81.9686,1365,1365,313
Surrey,North Dakota,48.2365,-101.1336,1365,1365,538
Advance,Missouri,37.1038,-89.9119,1365,1365,471
Elroy,Wisconsin,43.7422,-90.2707,1366,1366,272
Wayne,West Virginia,38.2254,-82.4415,1366,1366,718
Forreston,Illinois,42.1266,-89.5782,1366,1366,584
Parker City,Indiana,40.1898,-85.2038,1366,1366,931
New Fairview,Texas,33.1122,-97.4488,1367,1367,34
Winnebago,Minnesota,43.7639,-94.1705,1367,1367,232
Beechwood Village,Kentucky,38.2555,-85.6295,1367,1367,1897
Cottage City,Maryland,38.938,-76.9499,1368,1368,2120
Tatum,Texas,32.3159,-94.5189,1369,1369,139
Boyd,Texas,33.0843,-97.5632,1370,1370,129
Willacoochee,Georgia,31.3358,-83.0446,1370,1370,138
Monroeville,Ohio,41.244,-82.7019,1370,1370,377
Cedarville,Arkansas,35.5832,-94.362,1371,1371,58
New Pekin,Indiana,38.5029,-86.0152,1371,1371,223
Glyndon,Minnesota,46.8717,-96.5797,1371,1371,350
Ferndale,California,40.5799,-124.2619,1372,1372,515
Park River,North Dakota,48.3936,-97.7443,1373,1373,244
Ravenna,Nebraska,41.0275,-98.8945,1373,1373,319
Hughestown,Pennsylvania,41.3291,-75.7698,1373,1373,581
Wyoming,Illinois,41.0637,-89.773,1373,1373,630
Panama,Oklahoma,35.1715,-94.6707,1373,1373,335
Ansted,West Virginia,38.1357,-81.1038,1374,1374,319
Pine Mountain,Georgia,32.8524,-84.8531,1374,1374,183
Phillips,Wisconsin,45.6957,-90.4016,1375,1375,202
Stuart,Virginia,36.6411,-80.2689,1376,1376,163
Ceredo,West Virginia,38.3951,-82.5542,1376,1376,347
Hubbard,Texas,31.847,-96.8003,1376,1376,271
Oakland,Missouri,38.5769,-90.3849,1376,1376,873
Frazee,Minnesota,46.7281,-95.7024,1376,1376,500
Harper,Kansas,37.2851,-98.0277,1376,1376,325
Rockaway Beach,Oregon,45.6186,-123.9398,1376,1376,332
Woodway,Washington,47.7906,-122.3849,1377,1377,480
Moody,Texas,31.3086,-97.3596,1377,1377,553
Rosebud,Texas,31.0755,-96.975,1377,1377,668
White Cloud,Michigan,43.5541,-85.7721,1377,1377,273
Luna Pier,Michigan,41.8046,-83.443,1377,1377,354
Springfield,Colorado,37.4049,-102.6189,1378,1378,472
Hartford,Illinois,38.8212,-90.091,1378,1378,114
Orangeville,Utah,39.2309,-111.0592,1378,1378,370
Westlake,Texas,32.981,-97.2039,1379,1379,79
Nora Springs,Iowa,43.1445,-93.0094,1379,1379,243
Blades,Delaware,38.6353,-75.6026,1380,1380,959
Woodbranch,Texas,30.1814,-95.1834,1380,1380,268
Arlington,Georgia,31.4383,-84.7253,1380,1380,133
Elmore,Ohio,41.471,-83.2915,1380,1380,658
Mount Wolf,Pennsylvania,40.0617,-76.7053,1381,1381,1016
Gretna,Florida,30.5901,-84.6856,1382,1382,69
Lake Hamilton,Florida,28.0478,-81.627,1382,1382,169
Big Sandy,Texas,32.586,-95.1127,1382,1382,327
Claremont,North Carolina,35.7108,-81.1533,1382,1382,195
Ardmore,Alabama,34.9847,-86.8374,1382,1382,261
Walnut Cove,North Carolina,36.2943,-80.1407,1383,1383,221
Loretto,Pennsylvania,40.5085,-78.6348,1384,1384,558
Salina,Oklahoma,36.2907,-95.1519,1384,1384,541
Awendaw,South Carolina,32.9824,-79.646,1384,1384,56
Darrington,Washington,48.2542,-121.6029,1385,1385,323
Earlington,Kentucky,37.2754,-87.5066,1385,1385,189
Blair,Wisconsin,44.2955,-91.227,1386,1386,467
Mendon,Utah,41.7101,-111.9778,1386,1386,381
Ness City,Kansas,38.454,-99.9057,1386,1386,381
Sea Bright,New Jersey,40.3653,-73.9769,1387,1387,823
Saint Elmo,Illinois,39.0235,-88.8508,1387,1387,450
Walnut Grove,Georgia,33.7455,-83.8503,1387,1387,175
Velda Village,Missouri,38.694,-90.2934,1387,1387,3273
Red Lake Falls,Minnesota,47.884,-96.273,1387,1387,263
Capitan,New Mexico,33.5393,-105.5983,1388,1388,164
Lone Tree,Iowa,41.4866,-91.4262,1388,1388,514
Long Beach,Washington,46.3555,-124.0557,1389,1389,397
Nashotah,Wisconsin,43.0939,-88.4039,1389,1389,321
Wakefield,Nebraska,42.2668,-96.8631,1389,1389,519
Okawville,Illinois,38.4346,-89.5481,1389,1389,261
