city,state_name,lat,lng, population , population_proper ,density
Monowi,Nebraska,42.8307,-98.3296,1,1,1
Gross,Nebraska,42.9461,-98.5697,2,2,6
Lotsee,Oklahoma,36.1334,-96.2091,2,2,39
Warm River,Idaho,44.1183,-111.32,3,3,1
Hillsview,South Dakota,45.6642,-99.5607,3,3,1
White Rock,South Dakota,45.9248,-96.576,3,3,0
Lost Springs,Wyoming,42.7654,-104.9252,4,4,17
Ruso,North Dakota,47.8373,-100.9344,4,4,6
Hoot Owl,Oklahoma,36.36,-95.1214,4,4,26
Lily,South Dakota,45.1818,-97.6835,4,4,5
Thurmond,West Virginia,37.9607,-81.0795,5,5,20
Tavistock,New Jersey,39.8757,-75.0276,5,5,7
Cave,Missouri,39.0214,-91.0483,5,5,2
Funkley,Minnesota,47.7868,-94.4265,5,5,2
Freeport,Kansas,37.1988,-97.8544,5,5,9
Verdon,South Dakota,45.2442,-98.0992,5,5,7
Anoka,Nebraska,42.946,-98.8285,6,6,4
Lambert,Oklahoma,36.6832,-98.4237,6,6,20
Lowry,South Dakota,45.3155,-99.9812,6,6,9
Bergen,North Dakota,48.0038,-100.72,7,7,3
Grano,North Dakota,48.6153,-101.5887,7,7,8
Clayton,Idaho,44.2591,-114.4001,7,7,227
South Park View,Kentucky,38.1184,-85.7201,7,7,21
Lakeside,Colorado,39.7802,-105.0579,8,8,16
Wetonka,South Dakota,45.6242,-98.7717,8,8,12
Artas,South Dakota,45.8873,-99.8069,8,8,29
Loraine,North Dakota,48.8683,-101.5678,9,9,14
Perth,North Dakota,48.7149,-99.458,9,9,26
McMullen,Alabama,33.1481,-88.1757,9,9,31
Burton,Nebraska,42.9118,-99.5919,10,10,36
Centralia,Pennsylvania,40.8047,-76.3439,10,10,16
McBaine,Missouri,38.8831,-92.455,10,10,17
River Bend,Missouri,39.1841,-94.3941,10,10,2
Waldron,Kansas,37.0018,-98.1826,10,10,12
Farmer,South Dakota,43.7252,-97.689,10,10,46
Cottonwood,South Dakota,43.9657,-101.9021,10,10,4
Lake Buena Vista,Florida,28.3793,-81.5266,11,11,1
Pine Valley,New Jersey,39.7869,-74.9741,11,11,4
Dering Harbor,New York,41.0931,-72.3417,11,11,17
Knowles,Oklahoma,36.8731,-100.1931,11,11,24
Pillsbury,North Dakota,47.2071,-97.7959,12,12,18
Venturia,North Dakota,45.9971,-99.5479,12,12,41
Hansboro,North Dakota,48.9525,-99.3808,12,12,24
Churchs Ferry,North Dakota,48.2687,-99.1944,12,12,10
Bettles,Alaska,66.9064,-151.5377,12,12,2
Jefferson,Oklahoma,36.7203,-97.7909,12,12,16
Renfrow,Oklahoma,36.9248,-97.6571,12,12,48
Loveland,Oklahoma,34.3046,-98.7708,12,12,20
Kinbrae,Minnesota,43.8265,-95.4824,12,12,5
Weeki Wachee,Florida,28.517,-82.5775,13,13,4
Valley City,Illinois,39.7071,-90.6514,13,13,25
Kaskaskia,Illinois,37.9214,-89.9163,13,13,46
Champ,Missouri,38.7448,-90.4536,13,13,6
Cedar,Kansas,39.6573,-98.94,13,13,28
Kief,North Dakota,47.86,-100.5133,14,14,4
Hannah,North Dakota,48.9726,-98.6904,14,14,28
Le Roy,Iowa,40.8784,-93.5924,14,14,16
Corning,Missouri,40.2486,-95.4545,14,14,49
Bassett,Kansas,37.9064,-95.4076,14,14,85
Van Tassell,Wyoming,42.6643,-104.0913,15,15,3
Loma,North Dakota,48.6418,-98.5248,15,15,0
Bantry,North Dakota,48.4977,-100.6098,15,15,33
Valley-Hi,Pennsylvania,40.0299,-78.1917,15,15,11
Beaconsfield,Iowa,40.8076,-94.0507,15,15,8
Cooperton,Oklahoma,34.8662,-98.8759,15,15,11
Drummond,Idaho,43.9996,-111.3435,15,15,56
Barry,Minnesota,45.5582,-96.5603,15,15,23
Onaka,South Dakota,45.1912,-99.4659,15,15,22
Albee,South Dakota,45.0513,-96.5535,15,15,44
Gascoyne,North Dakota,46.119,-103.0788,16,16,6
Leith,North Dakota,46.3627,-101.6386,16,16,5
Bonanza,Colorado,38.2966,-106.1419,16,16,14
Dalton,Missouri,39.3976,-92.9921,16,16,34
Penalosa,Kansas,37.7161,-98.3198,16,16,90
Butler,South Dakota,45.262,-97.7117,16,16,21
Virgil,South Dakota,44.2909,-98.4276,16,16,6
Marineland,Florida,29.6648,-81.2138,17,17,24
Mound,Louisiana,32.333,-91.0241,17,17,12
Ayr,North Dakota,47.0411,-97.491,17,17,78
Brewster,Nebraska,41.9384,-99.8651,17,17,74
Irena,Missouri,40.5403,-94.39,17,17,7
Frederick,Kansas,38.5124,-98.2674,17,17,34
Overly,North Dakota,48.6811,-100.151,18,18,19
Goodnight,Missouri,37.4516,-93.2311,18,18,9
Stotesbury,Missouri,37.9744,-94.5645,18,18,63
Bancroft,South Dakota,44.4895,-97.7505,18,18,29
Los Ybanez,Texas,32.7188,-101.9174,19,19,88
Leal,North Dakota,47.105,-98.3154,19,19,53
Calvin,North Dakota,48.8518,-98.9381,19,19,33
Foraker,Oklahoma,36.8722,-96.5691,19,19,34
Stidham,Oklahoma,35.3686,-95.7008,19,19,211
Latimer,Kansas,38.7387,-96.8458,19,19,84
Vilas,South Dakota,44.0083,-97.596,19,19,3
Hamberg,North Dakota,47.7628,-99.5155,20,20,19
Mylo,North Dakota,48.6359,-99.6178,20,20,8
Braddock,North Dakota,46.5639,-100.0898,20,20,30
Sholes,Nebraska,42.3348,-97.2946,20,20,56
Nenzel,Nebraska,42.9274,-101.1018,20,20,24
Nora,Nebraska,40.1641,-97.9738,20,20,20
Durango,Iowa,42.5611,-90.7743,20,20,182
Hollenberg,Kansas,39.981,-96.9919,20,20,93
Mustang,Texas,32.0135,-96.4303,21,21,66
Amidon,North Dakota,46.4822,-103.3195,21,21,12
Calio,North Dakota,48.6238,-98.938,21,21,0
Ismay,Montana,46.5002,-104.7929,21,21,19
Lonerock,Oregon,45.0887,-119.8841,21,21,8
Fortuna,North Dakota,48.9099,-103.7783,22,22,8
Haynes,North Dakota,45.9739,-102.471,22,22,62
Conway,North Dakota,48.2344,-97.6752,22,22,38
Ludden,North Dakota,46.0081,-98.1255,22,22,11
Time,Illinois,39.5612,-90.7234,22,22,19
River Forest,Indiana,40.1107,-85.7294,22,22,487
Pioneer,Iowa,42.6535,-94.3909,22,22,133
Hepburn,Iowa,40.8476,-95.0167,22,22,109
York,North Dakota,48.3131,-99.5736,23,23,37
Lamar,Nebraska,40.5725,-101.9793,23,23,112
Barada,Nebraska,40.2183,-95.5778,23,23,98
Hendley,Nebraska,40.1313,-99.9711,23,23,41
Obert,Nebraska,42.6895,-97.0274,23,23,121
Friendship,Oklahoma,34.6979,-99.2287,23,23,59
Scofield,Utah,39.7198,-111.1623,23,23,9
Oak Hill,Kansas,39.2466,-97.3429,23,23,188
Stockville,Nebraska,40.5336,-100.3845,24,24,35
Edgehill,Georgia,33.1534,-82.625,24,24,50
Gerster,Missouri,37.9548,-93.577,24,24,114
Scottsville,Kansas,39.5426,-97.9523,24,24,36
Lone Elm,Kansas,38.0795,-95.2431,24,24,122
Radium,Kansas,38.1738,-98.8944,24,24,224
Webber,Kansas,39.9343,-98.0351,24,24,84
Grandfather,North Carolina,36.0987,-81.8482,25,25,6
Knox,North Dakota,48.344,-99.6912,25,25,19
Elliott,North Dakota,46.4023,-97.8149,25,25,63
Oak Hill,Alabama,31.9216,-87.0852,25,25,17
Bankston,Iowa,42.5073,-90.9613,25,25,35
Delphos,Iowa,40.6632,-94.3403,25,25,43
Milford,Missouri,37.5864,-94.1584,25,25,231
Bigelow,Missouri,40.1098,-95.2894,25,25,100
Russell Springs,Kansas,38.9127,-101.1758,25,25,12
Lazy Lake,Florida,26.1563,-80.1452,26,26,431
Cayuga,North Dakota,46.0761,-97.3844,26,26,10
Bucyrus,North Dakota,46.0648,-102.7884,26,26,28
Ambrose,North Dakota,48.956,-103.481,26,26,9
Seven Springs,Pennsylvania,40.0251,-79.2934,26,26,9
Kupreanof,Alaska,56.8092,-132.9916,26,26,2
Fults,Illinois,38.1644,-90.2129,26,26,190
Atomic City,Idaho,43.4439,-112.8135,26,26,95
Mildred,Kansas,38.0247,-95.1738,26,26,48
Chelsea,South Dakota,45.1676,-98.7434,26,26,31
Antler,North Dakota,48.9712,-101.2829,27,27,63
Balfour,North Dakota,47.9518,-100.5343,27,27,21
Sarles,North Dakota,48.9451,-98.9958,27,27,47
Preston,Nebraska,40.0346,-95.5181,27,27,183
Gilbert,Arkansas,35.9905,-92.717,27,27,26
New Amsterdam,Indiana,38.1019,-86.2754,27,27,129
Jolley,Iowa,42.4794,-94.7182,27,27,90
Cedar Point,Kansas,38.2599,-96.8215,27,27,128
Egeland,North Dakota,48.6276,-99.0979,28,28,28
Bazile Mills,Nebraska,42.5124,-97.9083,28,28,22
Strang,Nebraska,40.4149,-97.5871,28,28,86
Green Hills,Pennsylvania,40.1153,-80.3049,28,28,11
Memphis,Alabama,33.1369,-88.3008,28,28,27
Fallis,Oklahoma,35.7498,-97.1183,28,28,36
Evergreen,Missouri,37.5486,-92.5961,28,28,1
South Lineville,Missouri,40.5785,-93.5242,28,28,198
Johnson,Minnesota,45.5723,-96.2943,28,28,35
Brownell,Kansas,38.6406,-99.7443,28,28,55
Dunlap,Kansas,38.5761,-96.3674,28,28,46
Wales,North Dakota,48.8952,-98.6008,29,29,47
Lawton,North Dakota,48.3036,-98.3685,29,29,12
Kramer,North Dakota,48.6911,-100.7076,29,29,72
Gardena,North Dakota,48.7013,-100.4985,29,29,33
Cowles,Nebraska,40.1714,-98.4491,29,29,20
Maloy,Iowa,40.6732,-94.4119,29,29,18
Putnam,Oklahoma,35.8559,-98.968,29,29,111
Annada,Missouri,39.2622,-90.8287,29,29,183
Fortescue,Missouri,40.0519,-95.3176,29,29,145
Sibley,North Dakota,47.2186,-97.9653,30,30,257
Lushton,Nebraska,40.724,-97.7237,30,30,81
Verdel,Nebraska,42.8114,-98.1933,30,30,67
Blue Eye,Arkansas,36.4964,-93.3974,30,30,163
Grainola,Oklahoma,36.9379,-96.6488,30,30,48
Waldo,Kansas,39.1199,-98.7979,30,30,31
Luverne,North Dakota,47.2515,-97.9351,31,31,46
Moorefield,Nebraska,40.6899,-100.4004,31,31,71
Carbon,Iowa,41.0497,-94.824,31,31,16
Galt,Iowa,42.693,-93.6051,31,31,22
Huntsdale,Missouri,38.9114,-92.4723,31,31,540
Long Lake,South Dakota,45.8567,-99.2059,31,31,43
Gandy,Nebraska,41.4698,-100.4583,32,32,50
Cushing,Nebraska,41.2949,-98.3691,32,32,40
Berkley,Iowa,41.9464,-94.1137,32,32,59
Rosston,Oklahoma,36.8128,-99.9327,32,32,45
Spencer,Idaho,44.3784,-112.1903,32,32,11
Charmwood,Missouri,38.2811,-91.0967,32,32,87
Correll,Minnesota,45.232,-96.1627,32,32,34
Marvin,South Dakota,45.2605,-96.9154,32,32,22
Broadland,South Dakota,44.4938,-98.3466,32,32,12
Rockham,South Dakota,44.9043,-98.8234,32,32,24
Alsen,North Dakota,48.6303,-98.7048,33,33,0
Yetter,Iowa,42.3161,-94.8432,33,33,101
Macomb,Oklahoma,35.1479,-97.0087,33,33,143
Douglas,Oklahoma,36.2604,-97.6675,33,33,84
Passaic,Missouri,38.322,-94.3486,33,33,179
Susank,Kansas,38.6406,-98.7745,33,33,134
Altamont,South Dakota,44.8408,-96.6901,33,33,10
Grenville,New Mexico,36.5931,-103.6134,34,34,21
Spring Brook,North Dakota,48.2521,-103.4617,34,34,35
Paoli,Colorado,40.6128,-102.4721,34,34,43
Victoria,Arkansas,35.7574,-90.0601,34,34,42
Bentley,Illinois,40.3441,-91.1118,34,34,91
Lupus,Missouri,38.8459,-92.454,34,34,71
Denham,Minnesota,46.3617,-92.9416,34,34,9
Regal,Minnesota,45.4054,-94.8397,34,34,26
Bushong,Kansas,38.6428,-96.2567,34,34,87
Concord,Kentucky,38.6876,-83.4915,34,34,212
Impact,Texas,32.5002,-99.7464,35,35,155
Brinsmade,North Dakota,48.1836,-99.324,35,35,59
Berlin,North Dakota,46.3783,-98.4885,35,35,137
Wolford,North Dakota,48.4979,-99.7044,35,35,84
Monango,North Dakota,46.1734,-98.5952,35,35,36
McLean,Nebraska,42.3861,-97.4681,35,35,142
Riverside,Georgia,31.1782,-83.8054,35,35,64
Texola,Oklahoma,35.2222,-99.9929,35,35,21
Granger,Missouri,40.467,-91.9736,35,35,85
Cobden,Minnesota,44.2825,-94.8465,35,35,14
Danville,Kansas,37.286,-97.8921,35,35,163
Byers,Kansas,37.7877,-98.8669,35,35,72
Speed,Kansas,39.6765,-99.4211,35,35,92
Spencer Mountain,North Carolina,35.3073,-81.1101,36,36,28
Cornlea,Nebraska,41.68,-97.5669,36,36,150
Natural Bridge,Alabama,34.0904,-87.6014,36,36,32
Wenonah,Illinois,39.32,-89.2879,36,36,9
Ottosen,Iowa,42.898,-94.3756,36,36,24
Rendville,Ohio,39.6199,-82.09,36,36,44
Dolton,South Dakota,43.4911,-97.3848,36,36,54
Tolstoy,South Dakota,45.2083,-99.614,36,36,76
Fairdale,North Dakota,48.4899,-98.2311,37,37,46
Robinson,North Dakota,47.1424,-99.7805,37,37,86
Crab Orchard,Nebraska,40.3347,-96.4224,37,37,89
Wiederkehr Village,Arkansas,35.4821,-93.7581,37,37,3
Florence,Illinois,39.6286,-90.6106,37,37,68
Blanchard,Iowa,40.5808,-95.2215,37,37,62
Byron,Oklahoma,36.9014,-98.2946,37,37,59
Denver,Missouri,40.3989,-94.3233,37,37,37
Hillman,Minnesota,46.0077,-93.8885,37,37,26
Willis,Kansas,39.7227,-95.5056,37,37,84
Shaniko,Oregon,45.0036,-120.7522,37,37,28
Granite,Oregon,44.81,-118.4187,37,37,38
Seneca,South Dakota,45.0608,-99.5092,37,37,34
Landa,North Dakota,48.8958,-100.9119,38,38,193
Gilead,Nebraska,40.1461,-97.4151,38,38,212
Jerome,Arkansas,33.398,-91.4704,38,38,87
Birdsong,Arkansas,35.4594,-90.2616,38,38,163
Elkport,Iowa,42.7411,-91.2751,38,38,58
Galatia,Kansas,38.6412,-98.9579,38,38,39
Richfield,Kansas,37.2653,-101.7828,38,38,14
Naples,South Dakota,44.7716,-97.5131,38,38,105
Corral City,Texas,33.0985,-97.2304,39,39,98
Ragan,Nebraska,40.3108,-99.2896,39,39,59
Aspinwall,Iowa,41.9105,-95.135,39,39,84
Amorita,Oklahoma,36.924,-98.2936,39,39,59
Triplett,Missouri,39.4983,-93.1939,39,39,65
Florence,Minnesota,44.2365,-96.0532,39,39,57
Alice,North Dakota,46.76,-97.556,40,40,16
Clinton,Nebraska,42.7597,-102.348,40,40,164
Callimont,Pennsylvania,39.8011,-78.9216,40,40,3
Rockwood,Illinois,37.8404,-89.6968,40,40,72
Coburg,Iowa,40.9188,-95.2656,40,40,53
May,Oklahoma,36.6174,-99.7483,40,40,61
Cliff Village,Missouri,37.0251,-94.517,40,40,384
Donaldson,Minnesota,48.5755,-96.898,40,40,18
Dresden,Kansas,39.6218,-100.4188,40,40,16
Dickey,North Dakota,46.5367,-98.4682,41,41,72
Bathgate,North Dakota,48.8807,-97.4732,41,41,58
Surprise,Nebraska,41.1047,-97.3086,41,41,40
Lorton,Nebraska,40.5973,-96.0242,41,41,371
Saltaire,New York,40.6388,-73.1948,41,41,68
Two Buttes,Colorado,37.5607,-102.3966,41,41,63
Conway,Iowa,40.7493,-94.62,41,41,71
Sugden,Oklahoma,34.0826,-97.9788,41,41,72
Saint Cloud,Missouri,38.1732,-91.2127,41,41,12
Langdon,Kansas,37.8531,-98.3242,41,41,135
Athol,Kansas,39.7662,-98.9198,41,41,86
Cathay,North Dakota,47.5541,-99.4109,42,42,90
Voltaire,North Dakota,48.0193,-100.8449,42,42,40
Sawpit,Colorado,37.9947,-108.001,42,42,527
False Pass,Alaska,54.8499,-163.3509,42,42,0
Clayton,Iowa,42.9034,-91.1506,42,42,32
Buck Grove,Iowa,41.9178,-95.3951,42,42,44
Meridian,Oklahoma,35.844,-97.2456,42,42,82
Arbela,Missouri,40.4631,-92.0156,42,42,181
Leonard,Minnesota,47.6512,-95.267,42,42,37
Carlton,Kansas,38.6866,-97.2931,42,42,94
Lake Santeetlah,North Carolina,35.3636,-83.8664,43,43,85
Clifford,North Dakota,47.3483,-97.4102,43,43,117
Stockham,Nebraska,40.7164,-97.9432,43,43,97
Norman,Nebraska,40.479,-98.7921,43,43,179
Edna Bay,Alaska,55.9645,-133.6665,43,43,0
Phillipstown,Illinois,38.1429,-88.0181,43,43,60
Benton,Iowa,40.7041,-94.3612,43,43,24
Owasa,Iowa,42.4317,-93.205,43,43,29
Ellston,Iowa,40.8405,-94.1088,43,43,74
Miltonsburg,Ohio,39.8313,-81.1646,43,43,228
Quitman,Missouri,40.3732,-95.0765,43,43,124
Humboldt,Minnesota,48.9214,-97.095,43,43,154
Coyville,Kansas,37.6872,-95.8957,43,43,59
Vining,Kansas,39.5675,-97.2937,43,43,74
Jenkinsville,South Carolina,34.3129,-81.2874,43,43,186
Erwin,South Dakota,44.488,-97.4409,43,43,34
Fredonia,North Dakota,46.3291,-99.0957,44,44,69
Rogers,North Dakota,47.074,-98.2031,44,44,17
Regan,North Dakota,47.1568,-100.5273,44,44,16
Courtenay,North Dakota,47.2242,-98.5686,44,44,38
Huntley,Nebraska,40.2105,-99.2905,44,44,48
Smicksburg,Pennsylvania,40.8701,-79.1712,44,44,116
Rodman,Iowa,43.0266,-94.5272,44,44,99
Fenwick,Connecticut,41.2711,-72.3546,44,44,43
Pendleton,Missouri,38.8262,-91.2322,44,44,187
Sedan,Minnesota,45.5783,-95.2447,44,44,33
Strathcona,Minnesota,48.5539,-96.1672,44,44,34
Cedar Mills,Minnesota,44.9433,-94.5196,44,44,50
Louisburg,Minnesota,45.1637,-96.171,44,44,55
Hetland,South Dakota,44.3771,-97.2345,44,44,148
Saronville,Nebraska,40.603,-97.9387,45,45,116
Cotesfield,Nebraska,41.3576,-98.6336,45,45,33
Hardy,Iowa,42.8101,-94.0512,45,45,39
Osgood,Missouri,40.1973,-93.3498,45,45,95
Matfield Green,Kansas,38.1595,-96.5625,45,45,122
Hamlin,Kansas,39.9155,-95.6272,45,45,187
Akaska,South Dakota,45.331,-100.1209,45,45,28
Tarnov,Nebraska,41.6148,-97.5025,46,46,559
Benton,Alabama,32.3078,-86.818,46,46,58
Deer Grove,Illinois,41.6098,-89.6874,46,46,38
La Prairie,Illinois,40.1473,-91.0024,46,46,75
Pleasanton,Iowa,40.5825,-93.743,46,46,51
Millerton,Iowa,40.8495,-93.3056,46,46,85
Udell,Iowa,40.7801,-92.7427,46,46,55
North Lilbourn,Missouri,36.6018,-89.6221,46,46,102
Stoutsville,Missouri,39.548,-91.8573,46,46,21
Harwood,Missouri,37.9567,-94.1539,46,46,168
Trail,Minnesota,47.7833,-95.698,46,46,17
Lebanon,South Dakota,45.0687,-99.7667,46,46,33
Vienna,South Dakota,44.7032,-97.5,46,46,21
Hampden,North Dakota,48.5396,-98.6544,47,47,105
Tolley,North Dakota,48.7303,-101.8272,47,47,142
Emmet,Nebraska,42.4757,-98.8093,47,47,70
Belvidere,Nebraska,40.2546,-97.5577,47,47,37
Harbine,Nebraska,40.1917,-96.9742,47,47,173
North Crows Nest,Indiana,39.8661,-86.1623,47,47,280
Coppock,Iowa,41.1635,-91.7151,47,47,77
Cotter,Iowa,41.294,-91.4658,47,47,73
Hollister,Oklahoma,34.3413,-98.8706,47,47,74
Strong City,Oklahoma,35.6699,-99.6003,47,47,35
Iatan,Missouri,39.4773,-94.9838,47,47,150
Aldrich,Minnesota,46.3745,-94.9394,47,47,38
Boy River,Minnesota,47.1678,-94.1241,47,47,49
Myrtle,Minnesota,43.5631,-93.1632,47,47,171
Edmond,Kansas,39.6272,-99.8199,47,47,109
Blaine,Kentucky,38.0272,-82.8413,47,47,64
Turton,South Dakota,45.049,-98.0974,47,47,49
Inkster,North Dakota,48.1515,-97.6442,48,48,18
Beaver,Iowa,42.0382,-94.1399,48,48,74
Clearview,Oklahoma,35.3971,-96.1907,48,48,107
Oxford,Idaho,42.26,-112.0181,48,48,73
Metz,Missouri,37.9965,-94.443,48,48,146
Antelope,Oregon,44.9113,-120.7239,48,48,38
Woodworth,North Dakota,47.1421,-99.3046,49,49,85
Nekoma,North Dakota,48.5762,-98.3753,49,49,52
Dayton,Alabama,32.3509,-87.6416,49,49,18
Vining,Iowa,41.991,-92.3875,49,49,32
Gillett Grove,Iowa,43.0166,-95.0365,49,49,85
Hayesville,Iowa,41.2646,-92.2478,49,49,74
Elmira,Missouri,39.5087,-94.1546,49,49,260
Umber View Heights,Missouri,37.6233,-93.8036,49,49,304
Carrsville,Kentucky,37.3981,-88.3754,49,49,290
Nunda,South Dakota,44.1599,-97.0194,49,49,18
Bay Lake,Florida,28.387,-81.5753,50,50,0
Kathryn,North Dakota,46.6817,-97.9707,50,50,32
Elyria,Nebraska,41.6802,-99.0053,50,50,72
Foster,Nebraska,42.2747,-97.6651,50,50,86
Kasaan,Alaska,55.5567,-132.4128,50,50,3
Emelle,Alabama,32.7287,-88.3165,50,50,91
Panola,Illinois,40.7828,-89.0203,50,50,44
Laconia,Indiana,38.0318,-86.0855,50,50,388
Rea,Missouri,40.0616,-94.7646,50,50,161
Allendale,Missouri,40.4853,-94.2887,50,50,34
Doran,Minnesota,46.1852,-96.4857,50,50,92
Paradise,Kansas,39.1144,-98.9184,50,50,77
Neihart,Montana,46.9352,-110.736,50,50,9
Smyrna,South Carolina,35.042,-81.4094,50,50,27
Prescott,Oregon,46.0487,-122.8879,50,50,279
Ward,South Dakota,44.1548,-96.4626,50,50,66
Barney,North Dakota,46.2659,-96.9993,51,51,122
Niagara,North Dakota,47.9983,-97.8717,51,51,20
Smithfield,Nebraska,40.5733,-99.7409,51,51,116
Burnt Prairie,Illinois,38.2508,-88.2586,51,51,252
Gulfport,Illinois,40.8076,-91.0845,51,51,13
IXL,Oklahoma,35.5227,-96.3881,51,51,5
Skedee,Oklahoma,36.3801,-96.704,51,51,147
Fullerton,North Dakota,46.1632,-98.4272,52,52,51
Garrison,Nebraska,41.1754,-97.1633,52,52,175
Tinsman,Arkansas,33.6292,-92.3533,52,52,37
Belle Prairie City,Illinois,38.2234,-88.5557,52,52,44
Sandyville,Iowa,41.3708,-93.3863,52,52,39
Rinard,Iowa,42.3396,-94.485,52,52,20
Lima,Oklahoma,35.1738,-96.5984,52,52,44
Holiday City,Ohio,41.6178,-84.5388,52,52,7
Vista,Missouri,37.9891,-93.6637,52,52,153
Farwell,Minnesota,45.7527,-95.6186,52,52,69
Leonidas,Minnesota,47.4678,-92.5674,52,52,15
Earlton,Kansas,37.5875,-95.47,52,52,136
Sun City,Kansas,37.3785,-98.9165,52,52,141
New Albany,Kansas,37.5674,-95.9358,52,52,88
Leona,Kansas,39.7862,-95.3215,52,52,294
Outlook,Montana,48.8888,-104.7849,52,52,16
Lake City,South Dakota,45.7248,-97.4139,52,52,91
Raymond,South Dakota,44.9105,-97.9372,52,52,76
Forbes,North Dakota,45.9425,-98.7822,53,53,82
Hamlet,Nebraska,40.3845,-101.2346,53,53,65
Starkville,Colorado,37.1166,-104.5231,53,53,280
Goldville,Alabama,33.0841,-85.7831,53,53,20
Amity,Missouri,39.8684,-94.4354,53,53,118
Elmdale,Kansas,38.3732,-96.6459,53,53,123
Wilmore,Kansas,37.3355,-99.2093,53,53,101
Satartia,Mississippi,32.672,-90.5445,53,53,142
Grenville,South Dakota,45.4667,-97.3901,53,53,86
Folsom,New Mexico,36.8483,-103.9186,54,54,39
Donnybrook,North Dakota,48.5077,-101.8876,54,54,29
Port Alexander,Alaska,56.2352,-134.6532,54,54,6
Cardiff,Alabama,33.6472,-86.9307,54,54,83
Placerville,Idaho,43.943,-115.9456,54,54,20
Arcola,Missouri,37.5493,-93.8761,54,54,70
Urbank,Minnesota,46.1245,-95.511,54,54,29
Mizpah,Minnesota,47.9209,-94.2132,54,54,6
Dovray,Minnesota,44.0545,-95.5478,54,54,83
Belvidere,South Dakota,43.832,-101.2711,54,54,27
Riverside,Wyoming,41.2154,-106.7813,55,55,78
McHenry,North Dakota,47.5764,-98.5912,55,55,83
Brocket,North Dakota,48.2106,-98.3555,55,55,27
North River,North Dakota,46.9503,-96.8019,55,55,376
Milton,North Dakota,48.6264,-98.0459,55,55,41
Alton,Indiana,38.1211,-86.4196,55,55,123
Jackson Junction,Iowa,43.1013,-92.0463,55,55,3
Ophir,Utah,40.3695,-112.2552,55,55,174
Burgess,Missouri,37.5562,-94.6152,55,55,287
Randolph,Missouri,39.1559,-94.4928,55,55,64
Manchester,Minnesota,43.7259,-93.4514,55,55,242
Garden City,South Dakota,44.9592,-97.5806,55,55,53
Magnet,Nebraska,42.4555,-97.4698,56,56,145
Union Hill,Illinois,41.1085,-88.1462,56,56,480
Dougherty,Iowa,42.922,-93.0359,56,56,39
Curlew,Iowa,42.9795,-94.7377,56,56,28
Thayer,Iowa,41.029,-94.0497,56,56,233
Northboro,Iowa,40.608,-95.2936,56,56,84
Elgin,Ohio,40.7426,-84.476,56,56,96
Hoberg,Missouri,37.0682,-93.8493,56,56,400
Merwin,Missouri,38.4041,-94.5908,56,56,147
Lock Springs,Missouri,39.8489,-93.7763,56,56,174
Westport,Minnesota,45.7142,-95.1679,56,56,78
Wolf Lake,Minnesota,46.8062,-95.3528,56,56,72
Parkerville,Kansas,38.7637,-96.6616,56,56,180
Hunter,Kansas,39.235,-98.3963,56,56,103
Leggett,North Carolina,35.9896,-77.58,57,57,31
Julian,Nebraska,40.5198,-95.8674,57,57,250
Ohiopyle,Pennsylvania,39.869,-79.4947,57,57,52
Osterdock,Iowa,42.7313,-91.1579,57,57,47
Valeria,Iowa,41.7297,-93.3256,57,57,440
McKittrick,Missouri,38.7357,-91.4449,57,57,249
Harris,Missouri,40.3062,-93.3504,57,57,142
Hatfield,Minnesota,43.9547,-96.1904,57,57,7
Clayton,Kansas,39.737,-100.1765,57,57,51
Lane,South Dakota,44.0697,-98.4246,57,57,47
Quinn,South Dakota,43.9866,-102.1264,57,57,18
Great Bend,North Dakota,46.1546,-96.801,58,58,40
Burr,Nebraska,40.536,-96.2997,58,58,261
Steele City,Nebraska,40.0368,-97.0229,58,58,96
West Hampton Dunes,New York,40.7776,-72.7137,58,58,67
New Washington,Pennsylvania,40.8218,-78.7019,58,58,9
Petrey,Alabama,31.8495,-86.2057,58,58,30
Mooresville,Alabama,34.627,-86.88,58,58,188
Sciota,Illinois,40.5625,-90.7479,58,58,69
Rodney,Iowa,42.2048,-95.9508,58,58,137
Eldorado,Maryland,38.5839,-75.7894,58,58,292
Octa,Ohio,39.6135,-83.6106,58,58,80
Arrow Rock,Missouri,39.0699,-92.9473,58,58,168
Manhattan Beach,Minnesota,46.7349,-94.1391,58,58,14
Halma,Minnesota,48.6599,-96.5968,58,58,24
Taopi,Minnesota,43.5575,-92.6404,58,58,57
Hadley,Minnesota,43.9986,-95.8574,58,58,80
Aurora,Kansas,39.4519,-97.5299,58,58,220
Wallace,Kansas,38.9126,-101.593,58,58,56
Hamilton,North Dakota,48.8081,-97.4527,59,59,85
Pingree,North Dakota,47.1638,-98.9089,59,59,124
Souris,North Dakota,48.9101,-100.6826,59,59,223
Ong,Nebraska,40.3984,-97.8392,59,59,79
Virginia,Nebraska,40.2459,-96.4988,59,59,230
Glasgow,Pennsylvania,40.6444,-80.508,59,59,380
Waldenburg,Arkansas,35.5653,-90.9346,59,59,170
Gray,Iowa,41.8418,-94.9859,59,59,22
Gibson,Iowa,41.4801,-92.392,59,59,344
Brookview,Maryland,38.5738,-75.7927,59,59,525
Worth,Missouri,40.4045,-94.4465,59,59,90
Leonard,Missouri,39.8944,-92.182,59,59,70
